Customer_ID,Age,Gender,Income,Spending_Score,Region,Ad_Spend,Website_Time,Satisfaction_Score,Sales,Purchased
1,23,Male,35780.408072317514,26.634535612129167,South,20681.710098761087,2.021739541121078,1.5544741997948612,34624.49577499392,No
2,44,Female,54109.33653992704,97.30342079542648,East,17637.46695715408,4.924213123897177,2.271646874746671,27330.877984056726,Yes
3,22,Male,53914.416708350676,58.41386741320686,South,25173.531176630648,18.889395451068626,4.528030908772522,28841.397557440196,No
4,23,Female,65330.124871271524,5.115437862466979,West,25070.97419065247,6.749030590025971,3.4242030575369786,26634.302484707914,No
5,45,Female,36023.18159241974,63.212288305377,West,20036.89749372632,1.5087377129651656,3.717181223563,29572.692249841,Yes
6,23,Male,51402.78628690003,34.88572459581725,East,18706.22492874982,7.293007134609005,4.349972230391796,34557.66392954295,Yes
7,26,Male,72137.86427794775,64.97751516493366,North,26560.107269928525,0.30131149757322817,3.0764557953017064,22464.290305526712,Yes
8,24,Male,44820.466270336794,8.40436436045656,South,18197.8983073358,4.196125971690207,2.010219015969029,25339.241232370274,No
9,20,Female,41607.36655274309,48.511062808842354,North,18933.639722978158,12.188380534998638,6.517454868664503,29235.704890991474,No
10,32,Male,10000.0,47.19040096594213,East,17083.041045253143,4.054225914628582,8.849098311029906,23575.030962079156,No
11,20,Male,58327.05563311685,40.98232179373435,East,28285.2284112359,1.5543653487700169,1.2399147208915275,40268.103716431826,No
12,34,Male,77114.21947768403,6.811818541565184,West,13210.836788612123,6.27487650026983,7.879484859262725,17741.801303889748,Yes
13,40,Male,29979.057351727275,38.42272461287475,West,27590.674703703866,4.065678307410439,1.5924449559537108,30874.52219401317,Yes
14,27,Male,57268.79118541589,74.73189920361072,West,17732.697592471413,2.4816252690851535,7.769793833389132,43132.84144373942,Yes
15,37,Female,13389.42962920804,80.22269367365668,North,28020.263761750968,3.712004587596808,5.875198518807978,32661.51103613756,Yes
16,33,Female,56948.531255413654,20.745399330478474,East,22374.464788323156,1.3888537113225718,7.211029216241318,31185.287145883554,Yes
17,32,Male,67381.66231469526,45.7684186720974,West,27272.680169072562,6.312394223638124,7.3668771586619055,23645.10813268829,Yes
18,34,Male,62262.17224209092,40.054296573591785,South,19001.18268720953,4.3271794702909965,7.700282478554955,24239.786898753227,No
19,30,Male,45564.654503456,11.857011684768754,West,19060.461837228504,3.1364058087728357,4.671167851389109,33821.150432618386,No
20,43,Male,67208.12039865927,37.40749356150505,North,12234.37744802136,3.092721076221015,1.4450713365928096,33284.07078564014,Yes
21,44,Female,52420.04166067697,89.70365996219265,East,26743.29361135209,4.877342630700138,6.667377459253167,37150.845399912985,Yes
22,31,Male,40189.24482990967,83.65933813101853,East,20639.81929329781,5.990321004206844,5.204625848772747,24032.151275173383,Yes
23,24,Male,38344.004100477454,72.45765918195798,North,13496.163552219828,0.7150738934466517,1.0846302342021326,38095.1213896734,Yes
24,26,Male,66788.42189107116,95.79109885726595,East,19023.334069177392,2.8630205072230592,7.917379726868241,39655.22788291829,Yes
25,26,Male,40568.10060589871,35.14298390753536,North,27477.38152316514,13.045200816709903,2.7571558172346577,36772.803550636934,Yes
26,25,Female,52528.91248591221,28.560303268868665,South,16384.59599260214,4.405402469067745,1.6331572623198467,25857.067542727542,Yes
27,37,Male,23866.99641808927,49.04235280760402,South,18672.277929902655,4.316700855855,9.467166561190094,34856.30100842745,Yes
28,58,Male,57924.30092309879,89.8496297856426,West,19217.268229924273,10.864622443369683,6.524888650247398,23018.05007825551,Yes
